,SMILES_NS,pIC50_erbB4,pIC50_egfr,pIC50_met,pIC50_alk,pIC50_erbB2,pIC50_ret,pIC50_ros1
41,N#Cc1cnc2cc(OC[C@@H](O)CO)c(NC(=O)C3CSSC3)cc2c1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,7.3,7.3,,,6.78,,
42,OC[C@H](Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1,8.3,8.38,6.71,7.03,9.0,10.4,6.77
43,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,8.4,8.7,,,7.72,,
44,CC(C)(C)OC(=O)N1CC(=O)N2Cc3c(-c4noc(C5CC5)n4)ncn3-c3cccc1c32,8.49,8.08,,,8.09,,
45,C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,8.49,7.69,,,,,
46,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.92,,,,,,
47,C=CC(=O)NCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,8.48,8.15,,,8.15,,
48,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,8.22,8.4,,,7.57,,
49,CCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,6.42,,,,,,
50,O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1,6.62,7.44,5.25,,7.62,,
51,Fc1cccc(COc2ccc(Nc3ncnc4sc(C#C[C@H]5CCCN5)cc34)cc2Cl)c1,5.64,6.96,,,7.27,,
52,CCC(=O)Nc1cc2c(Nc3ccc(Oc4ccc5c(c4)OCO5)cc3)ncnc2cc1OC,7.4,6.29,,,,,
53,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C[C@H]1CCCN1C[C@@H]1CO1,6.41,,,,,,
54,CC(C)C(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,6.64,,,,,,
55,CCOc1cc2ncnc(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCCC1,7.96,7.44,,,7.52,,
56,CCC(=O)Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccn4)c3)ncnc2cc1OC,7.82,7.03,,,,,
57,CCC(=O)Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cc1OC,7.74,7.77,,,6.82,,
58,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1[C@@H](C)CCC[C@H]1C,8.3,7.59,,,6.89,,
59,O=C(NCCN1CCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,7.92,,,,6.95,6.65,
60,CCC(=O)Nc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1OC,7.32,7.19,,,6.38,,
61,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,8.12,,,,,,
