,smiles
69,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1ccccc1
70,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)c1cccc([N+](=O)[O-])c1
71,O=C(O)C1CCCN(C(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)C1
72,O=C(O)CNC(=O)CNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
73,COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
74,CC(=O)C(C)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
75,CCOC(=O)C(C)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
76,CCOC(=O)C(CC)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
77,COC(=O)C(C)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
78,COC(=O)c1ccc(COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)cc1
79,c1ccc2c(Nc3ccc4cn[nH]c4c3)ncnc2c1
80,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
81,CN(C)c1ccc(Nc2ncnc3ccccc23)cc1
82,COC(=O)c1ccccc1NC(=O)CSc1nc2sc(C)c(C)c2c(=O)n1-c1ccccc1
83,Cc1ccccc1Nc1ncnc2ccccc12
84,CCc1ccccc1Nc1ncnc2ccccc12
85,Cc1cccc(Nc2ncnc3ccc(Br)cc23)c1
86,Clc1ccc(Oc2ncnc3ccccc23)cc1
87,CCc1ccc(Oc2ncnc3ccccc23)cc1
88,CCOC(=O)c1ccc(Nc2ncnc3ccccc23)cc1
89,CC(C)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
90,O=c1cc(-c2ccccc2)oc2cc(OCc3ccccc3)cc(O)c12
91,Cc1ccc(COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)cc1
92,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
93,O=c1cc(-c2ccccc2)oc2cc(OCc3ccccc3F)cc(O)c12
94,O=c1cc(-c2ccccc2)oc2cc(OCc3ccc(F)cc3F)cc(O)c12
95,C=Cc1ccc(COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)cc1
96,O=c1cc(-c2ccccc2)oc2cc(OCc3ccc([N+](=O)[O-])cc3)cc(O)c12
97,O=c1cc(-c2ccccc2)oc2cc(OC/C=C/c3ccccc3)cc(O)c12
98,Cc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(Cl)cc1
99,Clc1ccc(Nc2ncnc3ccccc23)cc1
100,Fc1ccc(Nc2ncnc3ccccc23)cc1
101,Oc1ccc(Nc2ncnc3ccccc23)cc1
102,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1ccc(F)cc1
103,COc1ccc(CCNc2ncnc3ccccc23)cc1
104,Clc1cc(Cl)cc(Nc2ncnc3ccccc23)c1
105,c1ccc(Nc2ccc(Nc3ncnc4ccccc34)cc2)cc1
106,O=C(O)c1ccc(OCc2ccccc2)cc1
107,N=C(N)c1ccc(OCc2ccccc2)cc1
108,NC(=S)c1ccc(OCc2ccccc2)cc1
109,COc1ccccc1Nc1ncnc2ccccc12
110,COc1ccc(CNc2ncnc3c(Br)cccc23)cc1
111,Clc1ccc(-n2ncc3c(NCc4ccc5c(c4)OCO5)ncnc32)cc1
112,O=C(O)c1ccc(-c2ccccc2)cc1
113,Clc1cccc(Nc2ncnc3ccc(Br)cc23)c1
114,Clc1ccccc1Nc1ncnc2ccccc12
115,Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3ncnc4ccccc34)cc2)n1
116,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1
117,Cc1cccc(Oc2ncnc3ccccc23)c1
118,O=S(=O)(Nc1nccs1)c1ccc(Nc2ncnc3ccccc23)cc1
119,O=S(=O)(Nc1ccccc1O)c1ccccc1
120,COc1ccc(Nc2ncnc3ccccc23)cc1OC
121,CC(C)Oc1ccc(Nc2ncnc3ccccc23)cc1
122,O=S(=O)(Nc1ncccn1)c1ccc(Nc2ncnc3ccccc23)cc1
123,CCOc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1
124,O=C1/C(=C/c2ccc(O)c(F)c2)Oc2ccccc21
125,NS(=O)(=O)c1ccc(Nc2ncnc3ccccc23)cc1
126,CC(=O)Nc1ccc(Nc2ncnc3ccccc23)cc1
127,CC(=O)c1cccc(Nc2ncnc3ccccc23)c1
128,Cc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
129,COc1ccc(C2=NN(C(C)=O)C(c3ccccc3)C2)cc1
130,O=C(O)c1ccc(Nc2ncnc3ccccc23)cc1
131,CC(=O)c1ccc(Nc2ncnc3ccccc23)cc1
132,COC(=O)c1ccc(Nc2ncnc3ccccc23)cc1
133,CC(=O)Nc1cccc(Nc2ncnc3ccccc23)c1
134,Cc1cccc(-c2nc(NCc3cccnc3)c3ccccc3n2)c1
135,Clc1cccc(-c2nc(NCc3cccnc3)c3ccccc3n2)c1
136,CCOc1cccc(Nc2ncnc3ccccc23)c1
137,COc1ccc(CNc2ncnc3c(F)cccc23)cc1
138,O=S(=O)(Nc1ccccn1)c1ccc(Nc2ncnc3ccccc23)cc1
139,COc1ccc(CCNc2ncnc3cc(OC)c(OC)cc23)cc1
140,COc1cc2ncnc(Nc3cc(Cl)ccc3O)c2cc1OC
141,Clc1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1
142,Brc1cccc(Nc2ncnc3ccccc23)c1
143,Nc1cccc(Nc2ncnc3ccccc23)c1
144,Cc1cc(Oc2ncnc3ccccc23)ccc1Cl
145,Cc1ccc(Oc2ncnc3ccccc23)cc1C
146,Clc1cccc(Nc2ncnc3ccccc23)c1
147,Cc1ccc(Nc2ncnc3ccccc23)cc1Cl
148,Fc1cccc(Nc2ncnc3ccccc23)c1
149,Oc1cccc(Nc2ncnc3ccccc23)c1
150,Cc1ccc2ncnc(Nc3ccc(Cl)cc3)c2c1
151,O=[N+]([O-])c1cc(Nc2ncnc3ccccc23)ccc1Cl
152,O=C(Nc1ccc(C(=O)c2ccccc2)cc1)c1ccccc1
153,FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1
154,O=[N+]([O-])c1cccc(Nc2ncnc3ccccc23)c1
155,CC(=O)c1cccc(Nc2ncnc3ccc(Br)cc23)c1
156,CCOC(=O)c1cccc(Nc2ncnc3ccccc23)c1
157,O=C(O)C(CO)Nc1ncnc2sc(-c3ccccc3)cc12
158,O=C(O)c1cccc(Nc2ncnc3ccc(Br)cc23)c1
159,Cc1ccc(Nc2ncnc3ccccc23)cc1C
160,Clc1ccc(Nc2ncnc3ccc(Br)cc23)cc1
161,CC(=O)c1ccc(OCc2ccccc2)cc1
162,COC(=O)c1ccc(OCc2ccccc2)cc1
163,COc1ccc(CNc2ncnc3cc(OC)ccc23)cc1
164,CC(=O)c1cccc(Nc2ncnc3ccc(C)cc23)c1
165,Cc1ccc(Nc2ncnc3ccccc23)cc1
166,Cc1ccc(O)c(Nc2ncnc3ccccc23)c1
167,CCOc1ccc(Nc2ncnc3ccccc23)cc1
168,Cc1ccc2ncnc(Nc3cccc([N+](=O)[O-])c3)c2c1
169,CC(=O)c1ccc2ccccc2c1
170,O=C(O)c1ccc2ccccc2c1
171,CCc1ccccc1Nc1ncnc2ccc(C)cc12
172,COc1ccc2c(NCc3ccc(Cl)cc3)ncnc2c1
173,Cc1ccccc1Nc1ncnc2ccc(Br)cc12
174,COc1ccccc1Nc1ncnc2ccc(C)cc12
175,O=C(O)c1cccc(Nc2ncnc3ccccc23)c1
176,N#Cc1cccc(Nc2ncnc3ccccc23)c1
177,Cc1ccc2ncnc(Nc3ccccc3)c2c1
178,Cc1ccc(Nc2ncnc3ccc(Br)cc23)cc1C
179,Cc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1
180,COc1cccc(Nc2ncnc3ccc(Br)cc23)c1
181,Cc1ccc2ncnc(Nc3ccccc3Cl)c2c1
182,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1
183,CCOC(=O)c1cccc(Nc2ncnc3ccc(C)cc23)c1
184,Brc1ccc2ncnc(Nc3ccccc3)c2c1
185,Cc1cccc(C(=O)Nc2ccc(C(=O)c3ccccc3)cc2)c1
186,COC(=O)c1ccc(Nc2ncnc3ccc(C)cc23)cc1
187,CCOC(=O)c1ccc(Nc2ncnc3ccc(C)cc23)cc1
188,c1cncc(CNc2ncnc3ccccc23)c1
189,Cc1ccc(Nc2ncnc3ccc(Br)cc23)cc1
190,COc1cc2ncnc(Nc3ccc(Cl)c(C(F)(F)F)c3)c2cc1OC
191,COc1cc2ncnc(Nc3ccc(Cl)c([N+](=O)[O-])c3)c2cc1OC
192,COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC
193,Cn1nnc(-c2cccc(NC(=O)c3cc4ccccc4[nH]3)c2)n1
194,COc1ccc(CNc2ncnc3ccccc23)cc1OC
195,CC(C)Oc1ccc(Nc2ncnc3ccc(Br)cc23)cc1
196,Cc1ccc(Nc2ncnc3ccc([N+](=O)[O-])cc23)cc1C
197,Brc1ccc2ncnc(NCc3ccccc3)c2c1
198,COc1ccc(CNc2ncnc3ccc(F)cc23)cc1
199,c1ccc(CNc2ncnc3ccccc23)cc1
200,c1ccc(CNc2ncnc3sc(-c4ccccc4)cc23)cc1
201,Cc1ccc2ncnc(NCc3ccccc3)c2c1
202,COc1ccccc1CNc1ncnc2ccccc12
203,NS(=O)(=O)c1ccc(CNc2ncnc3ccccc23)cc1
204,Clc1ccccc1-c1nc(NCc2cccnc2)c2ccccc2n1
205,c1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1
