,smiles,pIC50_erbB4,pIC50_egfr,pIC50_met,pIC50_alk,pIC50_erbB2,pIC50_ret,pIC50_ros1
42,CN(C)C(C(=O)N1CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1)c1ccc(F)cc1,,,,,,7.45,
43,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cc[nH]c5)cc34)nc12,,,,,,5.9,
44,O=C(/C=C/C(=O)NCCCN1CCOCC1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,9.09,,,,,
45,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(O)C(C)C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,,,7.25,,,,
46,CCOc1cc2ncnc(Nc3ccc(C)c(Cl)c3)c2c2c1OCCO2,,8.17,,,,,
47,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccccc5F)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,,,8.35,,,,
48,CC(=O)OC[C@]1(C)[C@@H](OC(C)=O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC=C2[C@@H]3CC(C)(C)CC[C@]3(C(=O)OCCCCO[N+](=O)[O-])CC[C@]21C,,7.22,,,,,
49,CC(C)CNC(=O)N1CCN(c2ccc(-c3cc(OC[C@H](C)O)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.38,
50,CNC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NC)[nH]c2ccccc12,,5.03,,,,,
51,Cc1cc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc2[nH]1,,7,,,,,
52,COc1ccc(C(=O)N2C3CC2CN(c2ccc(-c4cc(-c5cnn(C)c5)cn5ncc(C#N)c45)cn2)C3)cc1Cl,,,,,,7.91,
53,COc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1O[C@H]1CO[C@@H]2[C@@H](OC)CO[C@H]12,,,,,6.28,,
54,O=C(NCCN1CCOCC1)Nc1nc2ccc(Sc3nnc4ccc(NC5CC5)nn34)cc2s1,,,9,,,,
55,C#Cc1cc2c(cc1OC1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,,,,8.79,,,
56,COc1ccc2[nH]c(-c3nn4c(COc5ccnc6cc(OC)ccc56)nnc4s3)cc2c1,,,7.19,,,,
57,COc1cc2c(Oc3ccc(NC(=O)N/N=C/c4ccc(F)cc4Cl)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,,,7.59,,,,
58,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(O)cc3)C2)cc1C,,6.89,,,,,
59,Cc1c(OCCN2CCOCC2)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,,,6.89,,,,
60,C[C@@H](c1cccc(F)c1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,,6.4,,,6.29,,
61,C=CC(=O)N(c1ccc(Cl)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,,7.5,,,,,
62,C=CC(=O)N1CC(Oc2cc3c(N[C@H](C)c4ccccc4)ncnc3cc2OC)C1,,8.22,,,,,
63,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1C,,,9.26,,,,
64,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,,8.39,,,,,
65,CCN(CC)C/C=C/C(=O)N1CC[C@@H](n2cc(C(=O)Nc3nc4cc(-c5ccccc5)ccc4o3)c3c(N)ncnc32)C1,,7.63,,,,,
66,O=S(=O)(c1cccc2nonc12)n1ccc2ncc(-c3cnn(C4CCNCC4)c3)cc21,,,8.05,,,,
67,CC1(NC(=O)c2ncccc2Cl)CCN(c2ccc(-c3cc(O)cn4ncc(C#N)c34)cn2)CC1,,,,,,8.26,
68,FC(F)(F)CNc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2ccoc12,,,,,,5.82,
69,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,,7.19,,,7.3,,
70,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C#Cc1nn(C2CCN(C)CC2)c2ncnc(N)c12,,,,,6.6,,
71,CCc1cc2c(cc1N1CCN(CC3(O)CCNCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,,,,8.85,,,
72,COc1cc2c(Nc3ccc(Br)c(Cl)c3Cl)ncnc2cc1OC[C@H]1CN2CCOCC2CO1,,,,,6.28,,
73,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,,7.3,,,,,
74,Cc1ccc(S(=O)(=O)NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1,,5.46,,,5.32,,
75,C[C@@H](Oc1c[nH]c(=O)c(C(=O)Nc2ccc3c(c2)CN(CCN(C)C)C3=O)c1)c1c(Cl)ccc(F)c1Cl,,,7.64,,,,
76,O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c1)NO,,5.85,,,,,
77,CC(C(=O)N/N=C1\C(=O)Nc2ccc(NC(=O)CN3CCCC3)cc21)c1ccc(F)cc1,,,5.21,,,,
78,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN2CSC[C@H]2CO1,,6.28,,,,,
79,CC(C)[C@@H](O)C(=O)N1CCN(c2ccc(-c3cc(-c4cnn(C)c4)cn4ncc(C#N)c34)cn2)CC1,,,,,,8.12,
80,CCOc1cc(-c2ccc(N3CCC(Cc4ccccn4)(NC(=O)CCN4CCOCC4)CC3)nc2)c2c(C#N)cnn2c1,,,,,,7.54,
81,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,,4.69,,,,,
82,Cn1cc(-c2cc(-c3ccc(N4CC5(CCCN5C(=O)OCc5ccccc5)C4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.69,
83,O=S(=O)(NCCc1cccc(F)c1)c1cc(-c2ccc(-c3cccs3)s2)cc(C(F)(F)F)c1,5.09,,,,4.5,,
84,Cn1nc(-c2cc(C3CC3)on2)c2c(N)ncnc21,,,,,,7.57,
85,CCOc1cc(-c2ccc(N3CC4CC(C3)N4C(=O)C(c3ccc(F)cc3)N(C)C)nc2)c2c(C#N)cnn2c1,,,,,,6.81,
86,COc1ccc(CNC(=O)c2cccc(C(C)Oc3ccnc(Nc4cnn(C5CCNCC5)c4)c3)c2)cc1OC,,,,5.35,,,6.43
87,O=C(Cc1cc(F)c(F)cc1F)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,,6.2,,,6.08,,
88,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,,4.25,,,,,
89,CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,,6.48,,,,,
90,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,,4.96,,,,,
91,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,,5.83,,,,,
92,COc1cc2c(cc1OC)Sc1nc(C)nc(Nc3ccc4n[nH]cc4c3)c1NC2,,4.79,,,,,
93,COc1ccc(-c2c3c4cc(OC)c(OCCCNC(=N)N)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,,7.41,,,,,
94,CCOc1cc(-c2ccc(N3CCN(C(=O)C(CN(C)C)c4ccc(F)cc4)CC3)nc2)c2c(C#N)cnn2c1,,,,,,7.03,
95,COc1cc(Nc2nccc(N3CCC[C@H](C(=O)NCc4cccc(Cl)c4)C3)n2)cc(OC)c1OC,,,,7.1,,,
96,COc1cc(-c2ccc(N3CC[C@H](NC(=O)C4(C)CCC4)[C@@H](O)C3)nc2)c2c(C#N)cnn2c1,,,,,,7.26,
97,CC(C)(C)OC(=O)n1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,,6.41,,,,,
98,N#CC(C#N)=Cc1ccc(C#N)cc1,,2.85,,,,,
99,O=[N+]([O-])c1ccc2sc3c(Nc4ccccc4)ncnc3c2c1,,7.24,,,,,
100,CC(C)c1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)[nH]n3)cc2)no1,,,,6.07,,,
