,SMILES_NS,pIC50_erbB4,pIC50_egfr,pIC50_met,pIC50_alk,pIC50_erbB2,pIC50_ret,pIC50_ros1
3558,COC[C@H]1CCN1C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@H]1[C@H]2COC[C@H]21,,8.54,,,8.55,,
3559,COC[C@H]1CCN1C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@H]1COCCO1,,8.54,,,8.92,,
3560,COC[C@H]1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O[C@@H]1COC,,8.0,,,,,
3561,COC[C@H]1Oc2cc3ncnc(Nc4cccc(I)c4)c3cc2O[C@@H]1COC,,8.78,,,,,
3562,COCc1cc2nc(N)[nH]c(=O)c2c2ccccc12,,7.35,,,,,
3563,COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,,6.47,,,6.38,,
3564,CONC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NOC)[nH]c2ccccc12,,4.17,,,,,
3565,CONC(=O)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,,4.57,,,,,
3566,CONC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,,6.52,,,,,
3567,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCC4CCCO4)c(C(C)C)c23)c(F)cc1F,,5.26,,,,,
3568,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCCCS(C)(=O)=O)c(C(C)C)c23)c(F)cc1F,,5.38,,,5.28,,
3569,CO[C@@H]1COC2C1OC[C@H]2Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,,9.4,,,7.6,,
3570,CO[C@H](C)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O,,4.56,,,,,
3571,CO[C@H](C)c1c(O)cc2c(c1O)C(=O)c1c(cc(O)c(O)c1O)C2=O,,4.39,,,,,
3572,CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)C[C@H]1F,,6.6,,,,,
3573,CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc(CO)n4C(C)C)n2)CC1(F)F,,6.0,,,,,
3574,CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc(CO)n4C(C)C)n2)C[C@H]1F,,6.54,,,,,
3575,CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc([C@@H](C)O)n4[C@H](C)C(F)(F)F)n2)C[C@H]1F,,4.68,,,,,
3576,CO[C@H]1[C@@H](N(C)C(=O)C(F)(F)F)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.19,,,,,
3577,CO[C@H]1[C@@H](N(C)C(=O)CCC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,6.8,,,,,
3578,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,6.66,,,,,
3579,CO[C@H]1[C@@H](N(C)C(=O)CNC(=O)OC(C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.46,,,,,
3580,CO[C@H]1[C@@H](N(C)C(=O)OC(C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,4.87,,,,,
3581,CO[C@H]1[C@@H](N(C)C(=O)c2ccc(C(=O)O)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,6.96,,,,,
3582,CO[C@H]1[C@@H](N(C)C(=O)c2ccc(Cl)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.15,,,,,
3583,CO[C@H]1[C@@H](N(C)C(=O)c2cccc(Cl)c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.34,,,,,
3584,CO[C@H]1[C@@H](N(C)C(=O)c2cccc([N+](=O)[O-])c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.32,,,,,
3585,CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.72,,,,,
3586,CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2Cl)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.33,,,,,
3587,CO[C@H]1[C@@H](N(C)C(=O)c2cccnc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.09,,,,,
3588,CO[C@H]1[C@@H](N(C)C(=O)c2cnccn2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.09,,,,,
3589,CO[C@H]1[C@@H](N(C)C(C)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.59,,,,,
3590,CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,7.51,,,,,
3591,CO[C@H]1[C@@H](N(C)CCC#N)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.96,,,,,
3592,CO[C@H]1[C@@H](N(C)Cc2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,6.04,,,,,
3593,CO[C@H]1[C@@H](N(C)S(C)(=O)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,5.96,,,,,
3594,CO[C@H]1[C@@H]([N+](C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,7.72,,,,,
3595,COc1c(Br)cc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C,,4.72,,,4.72,,
3596,COc1c(Br)cccc1Nc1ncnc2ccncc12,,7.4,,,,,
3597,COc1c(C(=O)NCCN(C)C)cccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,,8.52,,,,,
3598,COc1c(C)cccc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,,5.26,,,,,
3599,COc1c(C=O)cccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,,7.68,,,,,
3600,COc1c(CO)cccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,,8.82,,,,,
3601,COc1c(F)cccc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,,5.26,,,,,
3602,COc1c(NC(=O)Nc2ccc(-c3ccc(CN4CCOCC4)nc3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O,,5.27,,,,,
3603,COc1c(O)cc(O)c2c(=O)c(-c3ccc(O)cc3)coc12,,9.0,,,,,
3604,COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,,5.48,,,,,
3605,COc1cc(-c2nc(=O)c3c([nH]2)sc2ccc(C)cc23)ccc1OCC(=O)O,,5.62,,,,,
3606,COc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2cc(OC)c(OC)cc12,,7.2,,,,,
3607,COc1cc(-c2nc3sc(-c4ccc(Cl)cc4)cn3n2)cc(OC)c1OC,,5.77,,,,,
3608,COc1cc(-c2nc3sc(-c4ccccc4)cn3n2)cc(OC)c1OC,,5.55,,,,,
3609,COc1cc(-c2nc3sc4ccc(C)cc4c3c(=O)[nH]2)ccc1OCC(=O)O,,5.62,,,,,
3610,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC,,5.29,,,,,
3611,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F,,5.41,,,,,
3612,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N,,5.41,,,,,
3613,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,,6.77,,,,,
3614,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO,,5.27,,,,,
3615,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,,6.04,,,,,
3616,COc1cc(-c2nn(C3CCCC3)c3ncnc(N)c23)ccc1CNC(=O)c1ccccc1OC,,5.26,,,,,
3617,COc1cc(-c2nn(C3CCCC3)c3ncnc(N)c23)ccc1N,,7.08,,,,,
3618,COc1cc(-n2cc(CN3CCNCC3)nn2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,,6.05,,8.37,,,8.1
3619,COc1cc(-n2cc(CN3C[C@H](C)N[C@H](C)C3)nn2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,,6.06,6.14,8.52,,,8.52
3620,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,,2.96,,,,,
3621,COc1cc(/C=C(/C#N)C(N)=O)cc(CSCc2ccc(Cl)cc2)c1O,,4.8,,,5.7,,
3622,COc1cc(/C=C(\C#N)C(=O)NCCCCNC(=O)/C(C#N)=C/c2cc(Br)c(O)c(OC)c2)cc(Br)c1O,,5.52,,,,,
3623,COc1cc(/C=C(\C#N)C(=O)NCCCCNC(=O)/C(C#N)=C/c2cc(OC)c(O)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1O,,4.72,,,,,
3624,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,,3.15,,,,,
3625,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,,3.1,,,,,
3626,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O,,6.12,,,,,
3627,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,,6.0,,,,,
3628,COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O,,5.06,,,5.06,,
3629,COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCC(=O)O)c1O,,3.9,,,,,
3630,COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCCC(=O)O)c1O,,5.19,,,,,
3631,COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccc(Cl)cc2)c1O,,4.83,,,,,
3632,COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccccc2)c1O,,6.05,,,5.0,,
3633,COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccccc2Cl)c1O,,6.0,,,6.6,,
3634,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc(C)cc2)c1O,,5.76,,,5.78,,
3635,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc(O)cc2)c1O,,5.7,,,,,
3636,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc3ccccc3c2)c1O,,5.77,,,,,
3637,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2cccc3ccccc23)c1O,,5.77,,,5.34,,
3638,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2)c1O,,8.3,,,6.89,,
3639,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O,,6.15,,,6.35,,
3640,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O,,5.25,,,5.48,,
3641,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,,5.47,,,6.15,,
3642,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O,,5.36,,,4.82,,
3643,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3[nH]2)c1O,,4.84,,,5.21,,
3644,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,,5.28,,,5.82,,
3645,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,,4.73,,,6.46,,
3646,COc1cc(/C=C(\C#N)C(N)=O)cc(SCCCC(=O)O)c1O,,4.32,,,4.8,,
3647,COc1cc(/C=C(\C#N)C(N)=O)cc(Sc2nc3ccccc3s2)c1O,,6.46,,,,,
3648,COc1cc(/C=C(\C#N)S(=O)(=O)/C(C#N)=C/c2cc(O)c(O)c(OC)c2)cc(O)c1O,,6.03,,,,,
3649,COc1cc(/C=C(\C)[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,,5.6,,,,,
3650,COc1cc(/C=C(\C)[N+](=O)[O-])ccc1O[S+](=O)([O-])c1ccc(C(=O)O)cc1,,5.6,,,,,
3651,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,,5.07,,,,,
3652,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,,5.06,,,,,
3653,COc1cc(/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@@H]2CCOC2)cc(OC)c1OC,,8.05,,,,,
3654,COc1cc(/C=C/C(=O)c2ccc(NC(=O)c3cc4cc5cc(C)ccc5nc4s3)cc2)cc(OC)c1OC,,5.49,,,,,
3655,COc1cc(/C=C/C(=O)c2ccc(NC(=O)c3cc4cc5ccccc5nc4s3)cc2)cc(OC)c1OC,,5.92,,,,,
3656,COc1cc(/C=C/[N+](=O)[O-])ccc1O,,5.1,,,,,
3657,COc1cc(/C=C/[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,,5.55,,,,,
3658,COc1cc(/C=C/[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,,6.3,,,,,
3659,COc1cc(/C=C/[N+](=O)[O-])ccc1O[S+](=O)([O-])c1ccc(C(=O)O)cc1,,5.55,,,,,
3660,COc1cc(/C=C/[N+](=O)[O-])ccc1O[S+](=O)([O-])c1ccc(C(=O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)cc1,,8.3,,,,,
3661,COc1cc(/C=C2\CCC/C(=C\C3CCCCC3)C2=O)cc(OC)c1,,5.12,,,,,
3662,COc1cc(/C=C2\CCC/C(=C\c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C2=O)cc(OC)c1,,5.32,,,,,
3663,COc1cc(/C=C2\CCC/C(=C\c3cc(OC)cc(OC)c3)C2=O)cc(OC)c1,,5.7,,,,,
3664,COc1cc(/C=C2\CCC/C(=C\c3ccc(Br)cc3)C2=O)cc(OC)c1,,5.15,,,,,
3665,COc1cc(/C=C2\CCC/C(=C\c3ccc(Cl)cc3)C2=O)cc(OC)c1,,4.82,,,,,
3666,COc1cc(/C=C2\CCC/C(=C\c3ccc(F)cc3)C2=O)cc(OC)c1,,5.25,,,,,
3667,COc1cc(/C=C2\CCC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc(OC)c1,,5.41,,,,,
3668,COc1cc(/C=C2\CCC/C(=C\c3ccc(O)c(O)c3)C2=O)cc(OC)c1,,6.4,,,,,
3669,COc1cc(/C=C2\CCC/C(=C\c3ccc(O)cc3)C2=O)cc(OC)c1,,5.34,,,,,
3670,COc1cc(/C=C2\CCC/C(=C\c3ccc(OC)c(O)c3)C2=O)cc(OC)c1,,5.28,,,,,
3671,COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,,5.72,,,,,
3672,COc1cc(/C=C2\CCC/C(=C\c3cccc(Br)c3)C2=O)cc(OC)c1,,5.17,,,,,
3673,COc1cc(/C=C2\CCC/C(=C\c3cccc(Cl)c3)C2=O)cc(OC)c1,,5.66,,,,,
3674,COc1cc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc(OC)c1,,5.8,,,,,
3675,COc1cc(/C=C2\CCC/C(=C\c3ccccc3Br)C2=O)cc(OC)c1,,5.1,,,,,
3676,COc1cc(/C=C2\CCC/C(=C\c3ccccc3Cl)C2=O)cc(OC)c1,,5.82,,,,,
3677,COc1cc(/C=C2\CCC/C(=C\c3ccccc3F)C2=O)cc(OC)c1,,5.68,,,,,
3678,COc1cc(/C=C2\CCC/C(=C\c3ccccc3OC)C2=O)cc(OC)c1,,4.68,,,,,
3679,COc1cc(/C=C2\CCCCC2=O)cc(OC)c1,,4.73,,,,,
3680,COc1cc(/C=C2\SC(=N)NC2=O)ccc1OCCCOc1cc(C)cc(C)c1,,4.25,,,,,
3681,COc1cc(/C=N/NC(=O)COc2cc(C)nc3c2c(C)nn3-c2ccccc2)cc(OC)c1OC,,5.38,,,,,
3682,COc1cc(Br)c(/C=C2\CC(C)C/C(=C\c3nc(C)c(C)nc3C)C2=O)cc1OC,,5.72,,,,,
3683,COc1cc(Br)c(/C=C2\CC(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,,5.54,,,,,
3684,COc1cc(Br)c(/C=C2\CN(C(C)C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,,5.31,,,,,
3685,COc1cc(Br)c(/C=C2\CN(C)C/C(=C\c3nc(C)c(C)nc3C)C2=O)cc1OC,,7.22,,,,,
3686,COc1cc(Br)c(/C=C2\CN(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N\O)cc1OC,,7.7,,,,,
3687,COc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]c(=O)[nH]c3c2)c1O,,4.05,,,,,
3688,COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,,4.96,,,,,
3689,COc1cc(C(=O)NCCN(C)C)cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,,9.4,,,,,
3690,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,,9.3,,,,,
3691,COc1cc(C(=O)NN2CCN(C)CC2)ccc1Nc1ncc2nc(Nc3ccccc3)n(C(C)C)c2n1,,8.15,,,,,
3692,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,,5.24,,,,,
3693,COc1cc(C(=O)N[C@@H]2[C@H]3Oc4ccc(Oc5ccnc6c5CCC(=O)N6)cc4[C@@H]23)ccc1CN1CCN(C)CC1,,8.52,,,,,
3694,COc1cc(C(C#N)=C(C#N)C#N)cc(O)c1O,,5.22,,,,,
3695,COc1cc(C(C#N)=C(C#N)C#N)cc(OC)c1O,,8.05,,,,,
3696,COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,,8.7,,,,,
3697,COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2s1,,8.82,,,,,
3698,COc1cc(C2=C(c3c[nH]c4ccc(Br)cc34)C(=O)NC2=O)cc(OC)c1OC,,5.24,,,4.88,,
3699,COc1cc(C2=C(c3c[nH]c4ccc(I)cc34)C(=O)NC2=O)cc(OC)c1OC,,5.77,,,4.82,,
3700,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,,4.99,4.46,,4.88,,
3701,COc1cc(C2=C(c3c[nH]c4ccccc34)CNC2=O)cc(OC)c1OC,,4.64,,,,,
3702,COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,,5.05,4.54,,4.6,,
3703,COc1cc(C2=C(c3cn(COCC[Si](C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,,4.66,,,,,
3704,COc1cc(C2=C(c3cn(COCc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,,4.85,,,4.44,,
3705,COc1cc(C=C(C#N)C#N)cc(Br)c1O,,3.82,,,,,
3706,COc1cc(C=C(C#N)C#N)cc(C)c1O,,4.06,,,3.95,,
3707,COc1cc(C=C(C#N)C#N)cc(CS(=O)(=O)c2ccc(C)cc2)c1O,,4.82,,,4.76,,
3708,COc1cc(C=C(C#N)C#N)cc(CSCC(=O)O)c1O,,4.27,,,,,
3709,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,,5.22,,,5.6,,
3710,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2C(=O)O)c1O,,5.1,,,5.0,,
3711,COc1cc(C=C(C#N)C#N)cc(O)c1O,,5.22,,,,,
3712,COc1cc(C=C(C#N)C#N)cc(OC)c1O,,3.07,,,,,
3713,COc1cc(C=C(C#N)C#N)cc(SCC(=O)O)c1O,,4.27,,,5.34,,
3714,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,,3.8,,,,,
3715,COc1cc(C=C(C#N)C#N)ccc1O,,3.7,,,,,
3716,COc1cc(C=C(C#N)C(=N)C(C#N)C#N)cc(O)c1O,,6.0,,,,,
3717,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,,5.07,,,,,
3718,COc1cc(C=O)ccc1-c1cc2c(NCc3ccccc3)ncnc2s1,,8.22,,,,,
3719,COc1cc(C=O)ccc1-c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,,8.3,,,,,
3720,COc1cc(C=O)ccc1-c1cc2c(Nc3ccccc3)ncnc2s1,,7.7,,,,,
3721,COc1cc(CO)ccc1-c1cc2c(NCc3ccccc3)ncnc2s1,,8.3,,,,,
3722,COc1cc(CO)ccc1-c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,,8.7,,,,,
3723,COc1cc(CO)ccc1-c1cc2c(Nc3ccccc3)ncnc2s1,,7.85,,,,,
3724,COc1cc(Cc2cnc(N)nc2N)cc(CC(C)O)c1O,,6.76,,,,,
3725,COc1cc(Cl)c(/C=C2\CN(C(C)C)C/C(=C\c3nc(C)c(C)nc3C)C2=O)cc1OC,,5.51,,,,,
3726,COc1cc(F)c(-c2nn(C(C)C)c3ncnc(N)c23)cc1F,,4.99,,,,,
3727,COc1cc(F)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,,8.22,,,,,
3728,COc1cc(F)ccc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,,5.26,,,,,
3729,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccc(F)cc23)n1,,6.38,,,,,
3730,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccccc23)n1,,6.01,,,,,
3731,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nccc(-c2cn(C)c3ccc(F)cc23)n1,,6.01,,,,,
3732,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccc(F)cc34)n1)CS(=O)(=O)CC2,,6.7,,,,,
3733,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,,5.89,,,,,
3734,COc1cc(N(C)c2ccnc3ccc(C(F)(F)F)cc23)cc(OC)c1OC,,5.66,,,,,
3735,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(=O)C(N)=O)n1,,8.12,,7.55,,,
3736,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,,7.42,,9.43,,,8.72
3737,COc1cc(N2CCC(O)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1,,5.5,,,,,
3738,COc1cc(N2CCC(O)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)c2)n1,,6.62,,,,,
3739,COc1cc(N2CCC(O)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,,6.0,,,6.0,,
3740,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,,6.1,,,,,
3741,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,,6.0,,,6.0,,
3742,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(CCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1,,5.64,,,,,
3743,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(CCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1,,5.53,,,,,
3744,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1,,5.96,,,,,
3745,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(N)cc2)n1,,5.13,,,,,
3746,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(N=C=S)cc2)n1,,5.04,,,,,
3747,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(N=[N+]=[N-])cc2)n1,,5.01,,,,,
3748,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)/C=C/CN(C)C)cc2)n1,,5.3,,,,,
3749,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)CCO)cc2)n1,,5.49,,,,,
3750,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)CCOCc3ccccc3)cc2)n1,,5.96,,,,,
3751,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)CO)cc2)n1,,6.07,,,,,
3752,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)COCc3ccccc3)cc2)n1,,6.03,,,,,
3753,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(C)=O)cc2)n1,,5.51,,,,,
3754,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc([N+](=O)[O-])cc2)n1,,5.03,,,,,
3755,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)c2)n1,,6.89,,,,,
3756,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(N)c2)n1,,5.5,,,,,
3757,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(N=C=S)c2)n1,,5.32,,,,,
